date,country,first_dose,cumulation,population,percentage
2021-03-03,Europe,2078327.0,60451806.0,748000882,0.08081782716400594
2021-03-04,Europe,2225831.0,62677637.0,748000882,0.08379353354826659
2021-03-05,Europe,2270548.0,64948185.0,748000882,0.08682902194759712
2021-03-06,Europe,2367789.0,67315974.0,748000882,0.08999451153053586
2021-03-07,Europe,2403511.0,69719485.0,748000882,0.09320775774165464
2021-03-08,Europe,2442930.0,72162415.0,748000882,0.09647370308849448
2021-03-09,Europe,1878932.0,74041347.0,748000882,0.09898564130302723
2021-03-10,Europe,1894721.0,75936068.0,748000882,0.10151868778144034
2021-03-11,Europe,1864906.0,77800974.0,748000882,0.1040118746811852
2021-03-12,Europe,1863649.0,79664623.0,748000882,0.10650338110162817
2021-03-13,Europe,1841151.0,81505774.0,748000882,0.1089648100174299
2021-03-14,Europe,1817310.0,83323084.0,748000882,0.11139436597616205
2021-03-15,Europe,1853636.0,85176720.0,748000882,0.11387248604875308
2021-03-16,Europe,1824275.0,87000995.0,748000882,0.11631135349383184
2021-03-17,Europe,1897473.0,88898468.0,748000882,0.11884807911229174
2021-03-18,Europe,1826472.0,90724940.0,748000882,0.12128988371968256
2021-03-19,Europe,1838954.0,92563894.0,748000882,0.12374837547317223
2021-03-20,Europe,1947987.0,94511881.0,748000882,0.12635263309756364
2021-03-21,Europe,1956377.0,96468258.0,748000882,0.12896810728626923
2021-03-22,Europe,1983732.0,98451990.0,748000882,0.13162015228746748
2021-03-23,Europe,2068707.0,100520697.0,748000882,0.13438580009588813
2021-03-24,Europe,2045847.0,102566544.0,748000882,0.13712088644301892
2021-03-25,Europe,2112463.0,104679007.0,748000882,0.13994503150866605
2021-03-26,Europe,2244690.0,106923697.0,748000882,0.1429459504300424
2021-03-27,Europe,2152514.0,109076211.0,748000882,0.14582363955020042
2021-03-28,Europe,2202729.0,111278940.0,748000882,0.14876846094414098
2021-03-29,Europe,2626815.0,113905755.0,748000882,0.15228024156260286
2021-03-30,Europe,2661823.0,116567578.0,748000882,0.15583882426491577
2021-03-31,Europe,2791497.0,119359075.0,748000882,0.15957076772537818
2021-04-01,Europe,2900005.0,122259080.0,748000882,0.16344777518591214
2021-04-02,Europe,2773859.0,125032939.0,748000882,0.16715613846027524
2021-04-03,Europe,2781929.0,127814868.0,748000882,0.1708752904919703
2021-04-04,Europe,2753574.0,130568442.0,748000882,0.17455653481435332
2021-04-05,Europe,2242091.0,132810533.0,748000882,0.17755397914089624
2021-04-06,Europe,2271076.0,135081609.0,748000882,0.18059017342174738
2021-04-07,Europe,2355492.0,137437101.0,748000882,0.18373922318449887
2021-04-08,Europe,2470577.0,139907678.0,748000882,0.18704212971770265
2021-04-09,Europe,2696363.0,142604041.0,748000882,0.19064688883615513
2021-04-10,Europe,2856671.0,145460712.0,748000882,0.19446596320992038
2021-04-11,Europe,2958070.0,148418782.0,748000882,0.19842059758426864
2021-04-12,Europe,3172315.0,151591097.0,748000882,0.2026616554176737
2021-04-13,Europe,3279401.0,154870498.0,748000882,0.20704587618387327
2021-04-14,Europe,3235564.0,158106062.0,748000882,0.211371491404204
2021-04-15,Europe,3243813.0,161349875.0,748000882,0.21570813468639732
2021-04-16,Europe,3297186.0,164647061.0,748000882,0.22011613216252865
2021-04-17,Europe,3243551.0,167890612.0,748000882,0.22445242517775535
2021-04-18,Europe,3289259.0,171179871.0,748000882,0.22884982507279986
2021-04-19,Europe,3346704.0,174526575.0,748000882,0.23332402300563063
2021-04-20,Europe,3374102.0,177900677.0,748000882,0.23783484923751735
2021-04-21,Europe,3478371.0,181379048.0,748000882,0.24248507236385852
2021-04-22,Europe,3495708.0,184874756.0,748000882,0.2471584732703564
2021-04-23,Europe,3242115.0,188116871.0,748000882,0.2514928465017505
2021-04-24,Europe,3149898.81768159,191266769.81768158,748000882,0.25570393621231263
2021-04-25,Europe,3155959.60904825,194422729.42672983,748000882,0.2599231285755754
2021-04-26,Europe,3087318.8043910377,197510048.23112085,748000882,0.26405055526541593
2021-04-27,Europe,3085334.148810523,200595382.3799314,748000882,0.2681753286755234
2021-04-28,Europe,3168465.1341274763,203763847.51405886,748000882,0.27241123963548863
2021-04-29,Europe,3151390.5677509154,206915238.08180976,748000882,0.27662432366197365
2021-04-30,Europe,3175193.198819636,210090431.2806294,748000882,0.28086922935022607
2021-05-01,Europe,3272563.265540107,213362994.5461695,748000882,0.2852443087709748
2021-05-02,Europe,3263645.9787253086,216626640.5248948,748000882,0.28960746669934384
2021-05-03,Europe,3283042.79872345,219909683.32361826,748000882,0.2939965561746734
2021-05-04,Europe,3375520.063670128,223285203.3872884,748000882,0.29850927821137035
2021-05-05,Europe,3364269.3696276834,226649472.75691608,748000882,0.3030069592309867
2021-05-06,Europe,3374916.775754717,230024389.5326708,748000882,0.30751887473398837
2021-05-07,Europe,3461616.739667727,233486006.2723385,748000882,0.3121466991429811
2021-05-08,Europe,3449576.271241456,236935582.54357997,748000882,0.3167584266880316
2021-05-09,Europe,3454289.120290752,240389871.66387072,748000882,0.32137645482598604
2021-05-10,Europe,3537945.1371356603,243927816.80100638,748000882,0.32610632242677806
2021-05-11,Europe,3527849.658971084,247455666.45997745,748000882,0.33082269341492226
2021-05-12,Europe,3529164.21978834,250984830.6797658,748000882,0.33554082183524186
2021-05-13,Europe,3611443.1826217594,254596273.86238754,748000882,0.34036894873927104
2021-05-14,Europe,3604615.904103464,258200889.766491,748000882,0.34518794827636445
2021-05-15,Europe,3603649.2519631744,261804539.01845416,748000882,0.35000565549928614
2021-05-16,Europe,3684962.058734425,265489501.07718858,748000882,0.3549320695549508
2021-05-17,Europe,3681679.085834156,269171180.16302276,748000882,0.3598540946145873
2021-05-18,Europe,3678760.1384542175,272849940.30147696,748000882,0.36477221734275567
2021-05-19,Europe,3758970.797329057,276608911.098806,748000882,0.36979757344565006
2021-05-20,Europe,3759132.471146771,280368043.5699528,748000882,0.37482314568975705
2021-05-21,Europe,3754373.4493245105,284122417.0192773,748000882,0.3798423556127268
2021-05-22,Europe,3833250.302502161,287955667.32177943,748000882,0.3849670157498283
2021-05-23,Europe,3836713.4320264426,291792380.7538059,748000882,0.3900963057337757
2021-05-24,Europe,3830235.757179077,295622616.51098496,748000882,0.395216935734823
2021-05-25,Europe,3907593.1836782345,299530209.69466317,748000882,0.40044098463330846
2021-05-26,Europe,3914249.6108064735,303444459.30546963,748000882,0.4056739324880497
2021-05-27,Europe,3906216.566451038,307350675.87192065,748000882,0.41089614099134264
2021-05-28,Europe,3981919.4029545905,311332595.2748752,748000882,0.41621955637597124
2021-05-29,Europe,3991684.4681504113,315324279.74302566,748000882,0.42155602664520075
2021-05-30,Europe,3982280.535328017,319306560.2783537,748000882,0.4268799248265508
2021-05-31,Europe,4056221.7946079806,323362782.0729617,748000882,0.4323026748422493
2021-06-01,Europe,4069014.1468009544,327431796.2197626,748000882,0.43774252691290627
2021-06-02,Europe,4058426.790906948,331490223.0106696,748000882,0.4431682247811435
2021-06-03,Europe,4130513.6774479295,335620736.6881175,748000882,0.4486902953787125
2021-06-04,Europe,4146245.7701860946,339766982.4583036,748000882,0.4542333981610246
2021-06-05,Europe,4134658.039495157,343901640.49779874,748000882,0.45976100934303277
2021-06-06,Europe,4204807.5159061905,348106448.01370496,748000882,0.46538240313693235
2021-06-07,Europe,4223383.917213743,352329831.9309187,748000882,0.4710286316626545
2021-06-08,Europe,4210973.006477901,356540804.9373966,748000882,0.47665826808128897
2021-06-09,Europe,4279111.517305417,360819916.454702,748000882,0.48237899865832246
2021-06-10,Europe,4300429.949138328,365120346.40384036,748000882,0.48812822977906645
2021-06-11,Europe,4287367.406228108,369407713.8100685,748000882,0.4938599976277414
2021-06-12,Europe,4353431.361498817,373761145.1715673,748000882,0.49968008616809
2021-06-13,Europe,4377383.974137833,378138529.14570516,748000882,0.5055321968800902
